frame_id,id,x1,y1,x2,y2
1,0,400,420,458,500
1,1,803,468,871,564
1,2,1093,349,1140,439
1,3,157,264,197,346
1,4,1141,253,1181,333
1,5,1252,147,1279,209
1,6,441,161,478,227
1,7,846,189,879,247
1,8,731,193,759,258
1,9,382,155,413,216
1,10,648,223,671,297
1,11,515,429,562,521
1,12,895,125,920,178
1,13,716,83,739,127
1,14,841,661,938,720
2,0,406,418,464,499
2,1,812,467,878,560
2,2,1099,349,1142,430
2,3,167,264,207,346
2,4,1149,256,1188,334
2,5,1255,148,1281,208
2,6,452,162,490,227
2,7,857,189,889,247
2,8,740,194,768,258
2,9,394,155,425,216
2,10,658,220,682,297
2,11,512,430,559,519
2,12,907,125,932,176
2,13,727,84,750,127
2,14,844,661,941,720
2,15,579,95,604,144
3,0,414,417,473,500
3,1,822,463,885,552
3,2,1102,349,1147,431
3,3,176,264,217,347
3,4,1159,256,1198,336
3,5,1258,148,1283,208
3,6,465,162,502,227
3,7,869,188,903,249
3,8,750,193,779,259
3,9,406,155,437,216
3,10,672,221,696,297
3,11,511,430,558,516
3,12,920,124,944,175
3,13,740,84,763,127
3,14,871,662,965,720
3,15,591,96,616,145
4,0,425,415,481,495
4,1,829,460,892,548
4,2,1100,348,1148,433
4,3,186,264,227,345
4,4,1168,257,1207,337
4,5,1260,148,1286,208
4,6,478,162,515,227
4,7,879,187,914,249
4,8,760,193,791,264
4,9,419,156,449,213
4,10,684,222,708,297
4,11,505,433,549,515
4,12,932,125,957,177
4,13,753,83,776,128
4,14,882,663,975,720
4,15,605,97,629,143
4,16,617,46,641,89
5,0,433,414,489,493
5,1,838,461,898,546
5,2,1100,348,1147,433
5,3,191,264,232,345
5,4,1178,257,1217,339
5,5,1263,149,1288,207
5,6,490,160,528,226
5,7,889,186,925,249
5,8,771,194,802,265
5,9,431,155,462,215
5,10,696,224,720,298
5,11,506,435,550,516
5,12,943,123,969,177
5,13,765,83,788,128
5,14,892,663,984,719
5,15,618,98,642,143
5,16,629,46,654,89
5,17,548,427,580,513
6,0,436,412,493,494
6,1,846,462,906,545
6,2,1104,349,1147,429
6,3,202,265,241,345
