frame_id,id,x1,y1,x2,y2,confidence
1,0,400,420,458,500,0.8634256720542908
1,1,803,468,871,564,0.8861510157585144
1,2,1093,349,1140,439,0.7688747048377991
1,3,157,264,197,346,0.835177481174469
1,4,1141,253,1181,333,0.7174742817878723
1,5,1252,147,1279,209,0.5807288289070129
1,6,441,161,478,227,0.7631756663322449
1,7,846,189,879,247,0.7097876071929932
1,8,731,193,759,258,0.7357766032218933
1,9,382,155,413,216,0.695749044418335
1,10,648,223,671,297,0.6466034054756165
1,11,515,429,562,521,-1
1,12,895,125,920,178,0.5130715370178223
1,13,716,83,739,127,0.4478219151496887
1,14,841,661,938,720,0.36858946084976196
2,0,406,418,464,499,-1
2,1,812,467,878,560,0.8569299578666687
2,2,1099,349,1142,430,0.5530810356140137
2,3,167,264,207,346,0.8238742351531982
2,4,1149,256,1188,334,0.6887091398239136
2,5,1255,148,1281,208,-1
2,6,452,162,490,227,0.7320637702941895
2,7,857,189,889,247,0.7074013352394104
2,8,740,194,768,258,0.7692112922668457
2,9,394,155,425,216,0.6778455376625061
2,10,658,220,682,297,0.6655095815658569
2,11,512,430,559,519,-1
2,12,907,125,932,176,0.4990801513195038
2,13,727,84,750,127,0.5267603397369385
2,14,844,661,941,720,-1
2,15,579,95,604,144,0.6562404036521912
3,0,414,417,473,500,-1
3,1,822,463,885,552,0.8526696562767029
3,2,1102,349,1147,431,-1
3,3,176,264,217,347,0.8608670830726624
3,4,1159,256,1198,336,0.6970325112342834
3,5,1258,148,1283,208,-1
3,6,465,162,502,227,0.6886882185935974
3,7,869,188,903,249,0.7518988251686096
3,8,750,193,779,259,0.7592096328735352
3,9,406,155,437,216,0.7115200757980347
3,10,672,221,696,297,0.7411328554153442
3,11,511,430,558,516,-1
3,12,920,124,944,175,0.6030598282814026
3,13,740,84,763,127,0.5996882319450378
3,14,871,662,965,720,0.3031805455684662
3,15,591,96,616,145,0.6114907264709473
4,0,425,415,481,495,0.771773099899292
4,1,829,460,892,548,0.8649349212646484
4,2,1100,348,1148,433,-1
4,3,186,264,227,345,0.831341564655304
4,4,1168,257,1207,337,0.7310104966163635
4,5,1260,148,1286,208,-1
4,6,478,162,515,227,0.786429226398468
4,7,879,187,914,249,0.7626027464866638
4,8,760,193,791,264,0.7680029273033142
4,9,419,156,449,213,0.6512793302536011
4,10,684,222,708,297,0.6493061184883118
4,11,505,433,549,515,0.5699829459190369
4,12,932,125,957,177,0.38425636291503906
4,13,753,83,776,128,0.49056169390678406
4,14,882,663,975,720,-1
4,15,605,97,629,143,0.567594051361084
4,16,617,46,641,89,0.35439521074295044
5,0,433,414,489,493,0.8063676357269287
5,1,838,461,898,546,0.8193962574005127
5,2,1100,348,1147,433,0.5942196846008301
5,3,191,264,232,345,0.7702630162239075
5,4,1178,257,1217,339,0.7828251719474792
5,5,1263,149,1288,207,-1
5,6,490,160,528,226,0.7182203531265259
5,7,889,186,925,249,0.7269019484519958
5,8,771,194,802,265,0.7608059048652649
5,9,431,155,462,215,0.6997613906860352
5,10,696,224,720,298,0.7618160247802734
5,11,506,435,550,516,0.44931772351264954
5,12,943,123,969,177,0.5183727145195007
5,13,765,83,788,128,0.438339501619339
5,14,892,663,984,719,-1
5,15,618,98,642,143,0.6843292713165283
5,16,629,46,654,89,0.3820454776287079
5,17,548,427,580,513,0.6076979041099548
6,0,436,412,493,494,0.8235200047492981
6,1,846,462,906,545,0.8074516654014587
6,2,1104,349,1147,429,0.633387565612793
6,3,202,265,241,345,0.725831925868988
6,4,1189,258,1230,342,0.7468626499176025
6,5,1266,149,1291,207,-1
6,6,503,160,540,226,0.6961269378662109
6,7,900,187,936,249,0.75911545753479
6,8,780,194,812,266,0.7376008033752441
6,9,443,155,473,215,0.7014990448951721
6,10,707,224,731,299,0.7587766647338867
6,11,502,437,545,517,0.6258466839790344
6,12,957,123,982,177,0.4539527893066406
6,13,777,83,800,128,0.5152930021286011
6,14,903,664,994,719,-1
6,15,630,97,654,143,0.5665331482887268
6,16,635,46,660,89,-1
6,17,551,424,583,510,0.6636755466461182
7,0,439,411,498,495,0.8053866028785706
7,1,853,456,917,545,0.8675150275230408
7,2,1110,349,1153,428,0.6646172404289246
7,3,209,265,248,344,0.7592368125915527
