frame,id,class_name,confidence,x1,y1,x2,y2
0,-1,player,0.9246804118156433,794,470,864,566
0,-1,player,0.9229925870895386,431,160,467,227
0,-1,player,0.9186922907829285,839,187,873,247
0,-1,player,0.9175800681114197,392,422,457,500
0,-1,player,0.9134364724159241,140,266,190,347
0,-1,player,0.9115026593208313,1086,345,1137,443
0,-1,player,0.9087744355201721,704,82,733,128
0,-1,player,0.9080349802970886,887,124,913,177
0,-1,player,0.9076900482177734,370,154,405,217
0,-1,player,0.900204598903656,721,195,757,262
0,-1,player,0.8916470408439636,1134,253,1181,338
0,-1,player,0.891013503074646,1239,146,1269,210
0,-1,player,0.8738323450088501,532,428,581,520
0,-1,player,0.873700737953186,559,94,582,145
0,-1,referee,0.8592700362205505,568,51,597,90
0,-1,player,0.8431310653686523,638,221,662,296
0,-1,player,0.8389577269554138,494,430,540,519
1,-1,player,0.9235410094261169,804,467,874,562
1,-1,player,0.923296332359314,1088,344,1149,440
1,-1,player,0.9215489029884338,403,421,461,498
1,-1,player,0.9167323708534241,382,155,419,216
1,-1,player,0.9166935682296753,443,160,480,227
1,-1,player,0.9128187298774719,154,265,204,347
1,-1,player,0.9126659035682678,529,428,579,518
1,-1,player,0.9063612222671509,850,187,878,248
1,-1,player,0.902168869972229,732,194,761,262
1,-1,player,0.9018301963806152,718,83,745,128
1,-1,player,0.8951586484909058,570,95,596,145
1,-1,player,0.8920646905899048,899,125,923,177
1,-1,player,0.8891822695732117,1148,255,1187,340
1,-1,player,0.8877138495445251,1252,147,1280,211
1,-1,referee,0.8857925534248352,650,221,672,296
1,-1,player,0.8606848120689392,497,432,537,520
2,-1,player,0.9397380352020264,164,264,215,347
2,-1,player,0.9321019649505615,813,465,883,559
2,-1,player,0.9319694638252258,1085,344,1158,439
2,-1,player,0.9223018288612366,455,160,494,227
2,-1,player,0.9136346578598022,396,155,431,216
2,-1,player,0.9107785820960999,741,194,771,263
2,-1,player,0.91020268201828,415,418,460,499
2,-1,player,0.9098955988883972,579,95,610,146
2,-1,player,0.9090132713317871,862,187,891,249
2,-1,player,0.8980643153190613,912,125,933,176
2,-1,player,0.8979299664497375,732,83,756,128
2,-1,player,0.8786168694496155,533,429,574,517
2,-1,player,0.8753716945648193,1158,256,1192,340
2,-1,referee,0.8662436008453369,595,52,622,90
2,-1,referee,0.8615046739578247,663,221,685,297
3,-1,player,0.9302158951759338,873,185,904,248
3,-1,player,0.9273914694786072,822,463,889,551
3,-1,player,0.9247793555259705,1083,343,1134,439
3,-1,player,0.9218528270721436,173,265,226,347
3,-1,player,0.9158585071563721,468,161,507,226
3,-1,player,0.9114118218421936,591,96,624,146
3,-1,player,0.9112709164619446,426,417,466,499
3,-1,player,0.9065746665000916,410,154,444,216
3,-1,player,0.9051363468170166,752,192,783,264
3,-1,player,0.9025725722312927,745,83,765,127
3,-1,player,0.8818407654762268,924,125,945,176
3,-1,referee,0.879972517490387,675,221,697,296
3,-1,player,0.8793870210647583,1168,257,1195,340
3,-1,player,0.8725041151046753,533,429,574,515
3,-1,player,0.8057297468185425,499,434,542,514
4,-1,player,0.9310133457183838,182,265,235,347
4,-1,player,0.9285429120063782,760,193,795,265
4,-1,player,0.9244095683097839,882,185,917,249
4,-1,player,0.9188684225082397,1086,344,1137,441
4,-1,player,0.9180105924606323,831,462,894,545
4,-1,player,0.9173689484596252,480,161,519,226
4,-1,player,0.9150804877281189,605,97,635,147
4,-1,player,0.9144559502601624,434,416,481,498
4,-1,player,0.9068099856376648,423,154,454,216
4,-1,referee,0.9008403420448303,684,222,711,298
4,-1,player,0.8991789817810059,1174,257,1207,340
4,-1,player,0.8941837549209595,936,125,959,177
4,-1,player,0.8925919532775879,758,82,776,128
4,-1,referee,0.88078773021698,620,52,646,90
4,-1,player,0.8677277565002441,533,428,577,518
4,-1,player,0.8166026473045349,493,434,542,510
5,-1,player,0.9259872436523438,889,185,928,248
5,-1,player,0.9202136993408203,839,460,897,547
5,-1,player,0.9192546606063843,618,97,648,146
5,-1,player,0.9178493618965149,770,193,806,266
5,-1,player,0.9148604273796082,493,160,529,226
5,-1,player,0.914239764213562,192,267,238,347
5,-1,player,0.9105158448219299,431,414,493,499
5,-1,player,0.9063208699226379,1097,347,1138,442
5,-1,referee,0.9045130610466003,694,223,727,297
5,-1,player,0.8949006199836731,1182,256,1220,340
5,-1,player,0.8933073282241821,948,124,971,178
5,-1,player,0.8893947601318359,436,154,463,215
5,-1,player,0.8807852864265442,491,437,547,497
5,-1,player,0.8769676685333252,771,83,786,127
5,-1,player,0.8702213168144226,544,426,580,515
5,-1,referee,0.8216502666473389,633,51,658,89
6,-1,player,0.9338744878768921,847,457,907,545
6,-1,player,0.9200485348701477,781,194,818,266
6,-1,player,0.9159243702888489,505,159,540,225
6,-1,player,0.9157946705818176,631,97,658,145
6,-1,player,0.9140743017196655,897,185,940,249
6,-1,player,0.9121027588844299,960,124,984,178
6,-1,player,0.9044745564460754,201,266,243,346
6,-1,player,0.8920935392379761,1191,255,1235,340
6,-1,player,0.8911331295967102,431,413,504,499
6,-1,player,0.8884193897247314,448,154,471,214
6,-1,player,0.8880366086959839,547,423,585,515
6,-1,player,0.8795790672302246,782,83,800,127
6,-1,player,0.8751388192176819,1110,348,1137,443
6,-1,player,0.8331148624420166,703,224,740,298
6,-1,referee,0.8253835439682007,646,51,668,89
7,-1,player,0.93180912733078,439,412,507,497
7,-1,player,0.9306391477584839,854,454,919,546
7,-1,player,0.9232804775238037,909,185,951,250
7,-1,player,0.9115219712257385,1197,255,1248,341
7,-1,player,0.9056385159492493,643,96,669,146
7,-1,player,0.9041897058486938,713,225,754,297
7,-1,player,0.9025740623474121,518,159,549,225
7,-1,player,0.895817220211029,212,266,246,345
7,-1,player,0.8950252532958984,972,124,997,180
7,-1,player,0.8916317820549011,793,196,826,266
7,-1,player,0.8897644281387329,558,419,591,512
7,-1,player,0.8894156217575073,461,154,479,215
7,-1,player,0.88697350025177,1115,348,1160,437
7,-1,referee,0.8844777345657349,658,49,678,91
7,-1,player,0.8747127652168274,504,442,550,520
7,-1,player,0.8741261959075928,795,83,813,127
8,-1,player,0.9306260943412781,1202,256,1260,343
8,-1,player,0.9188410639762878,923,186,959,251
8,-1,player,0.9169141054153442,859,450,928,548
8,-1,player,0.9068378210067749,219,264,259,345
8,-1,player,0.9033132791519165,985,125,1009,180
8,-1,player,0.9027871489524841,655,95,678,145
8,-1,player,0.9024569392204285,452,412,516,497
8,-1,player,0.8943583965301514,1117,346,1157,440
8,-1,player,0.891751766204834,472,154,492,215
8,-1,player,0.8914734125137329,529,158,558,226
8,-1,referee,0.8908047080039978,670,48,692,91
8,-1,player,0.8892088532447815,563,416,594,507
8,-1,player,0.8802328705787659,805,197,831,267
8,-1,player,0.8726391792297363,805,83,828,128
8,-1,player,0.8622573614120483,726,224,767,298
8,-1,player,0.8554150462150574,508,442,551,520
9,-1,player,0.9405537247657776,865,449,935,539
9,-1,player,0.9232360124588013,230,263,271,346
9,-1,player,0.9122714400291443,935,186,965,251
9,-1,player,0.9062378406524658,1215,258,1268,344
9,-1,player,0.9004136919975281,998,127,1021,182
9,-1,player,0.9000239968299866,668,95,688,147
9,-1,player,0.8983205556869507,510,438,562,520
9,-1,player,0.8982266783714294,467,412,512,494
9,-1,player,0.8946548700332642,543,158,571,226
9,-1,referee,0.892318069934845,684,47,704,90
9,-1,player,0.890622615814209,1119,346,1169,444
9,-1,player,0.8892974853515625,815,85,842,129
9,-1,player,0.8878293633460999,814,197,839,266
9,-1,player,0.8763647675514221,484,154,507,216
9,-1,player,0.8649148941040039,564,414,602,504
9,-1,player,0.8620763421058655,740,224,780,298
10,-1,player,0.9299774765968323,872,446,940,534
10,-1,player,0.9205750823020935,237,263,283,345
10,-1,player,0.909376859664917,1011,127,1031,182
10,-1,player,0.9058374166488647,680,94,701,147
10,-1,player,0.9052117466926575,554,158,584,226
10,-1,player,0.9049604535102844,571,412,613,504
10,-1,player,0.9049447774887085,827,85,856,129
10,-1,player,0.902092456817627,492,154,521,216
10,-1,player,0.89262855052948,945,186,972,251
10,-1,player,0.8921371698379517,823,197,850,267
10,-1,player,0.8891782164573669,472,410,519,493
10,-1,referee,0.8703072667121887,696,47,716,91
10,-1,player,0.8682816624641418,1231,259,1277,345
10,-1,player,0.8261774182319641,1125,344,1179,441
11,-1,player,0.9350854158401489,881,445,942,533
11,-1,player,0.9255334734916687,239,263,293,345
11,-1,player,0.9222733974456787,1122,345,1187,440
11,-1,player,0.9132376313209534,567,159,599,226
11,-1,player,0.9098973274230957,956,185,982,250
11,-1,player,0.9085764288902283,501,155,536,216
11,-1,player,0.9050202965736389,572,411,621,509
11,-1,player,0.9016286730766296,1023,127,1044,182
11,-1,player,0.8964146375656128,469,410,529,484
11,-1,player,0.8935781717300415,692,95,715,147
11,-1,player,0.8922485709190369,841,85,869,129
11,-1,player,0.8852307796478271,832,196,863,268
11,-1,player,0.8731412887573242,1241,262,1277,345
11,-1,referee,0.8425767421722412,709,50,727,95
11,-1,player,0.8360376954078674,767,225,806,297
12,-1,player,0.9180904626846313,1115,347,1170,440
12,-1,player,0.9146472811698914,965,185,995,251
12,-1,player,0.9142981767654419,704,96,729,149
12,-1,player,0.9088073372840881,579,159,613,227
12,-1,player,0.9087622761726379,841,196,876,269
12,-1,player,0.9087605476379395,513,156,549,217
12,-1,player,0.9079439640045166,889,445,941,533
12,-1,player,0.9077348113059998,248,264,302,345
12,-1,player,0.9036583304405212,569,410,628,517
12,-1,player,0.8956407308578491,1035,127,1058,182
12,-1,referee,0.8945234417915344,782,224,817,297
12,-1,referee,0.8907219171524048,720,51,740,95
12,-1,player,0.8903387784957886,855,86,881,129
12,-1,player,0.8784618377685547,1247,261,1279,345
12,-1,player,0.8496370911598206,470,410,540,484
13,-1,player,0.926037609577179,573,411,632,518
13,-1,player,0.9180326461791992,896,445,946,536
13,-1,player,0.916522204875946,1048,127,1072,181
13,-1,player,0.9130743741989136,588,160,626,227
13,-1,player,0.9089500308036804,847,196,888,268
13,-1,player,0.9072266817092896,1117,349,1190,441
13,-1,player,0.9062501788139343,976,185,1008,251
13,-1,player,0.9041125178337097,262,265,305,345
13,-1,referee,0.899871289730072,795,225,826,298
13,-1,referee,0.8993872404098511,732,52,754,94
13,-1,player,0.8921455144882202,526,157,561,217
13,-1,player,0.8915114998817444,715,97,742,148
13,-1,player,0.8734011054039001,868,86,892,129
13,-1,player,0.8559165596961975,1260,259,1280,332
13,-1,player,0.8050757646560669,488,411,548,477
14,-1,player,0.9248576760292053,897,443,959,535
14,-1,player,0.9207731485366821,854,197,898,269
14,-1,player,0.9162494540214539,982,186,1020,251
14,-1,player,0.9161447286605835,600,161,638,228
14,-1,player,0.9152815937995911,1125,353,1187,442
14,-1,player,0.9110887050628662,586,409,633,509
14,-1,player,0.9079766273498535,1059,127,1086,183
14,-1,player,0.9005470871925354,269,266,307,345
14,-1,player,0.8911216259002686,538,157,571,218
14,-1,player,0.8908286094665527,725,99,755,150
14,-1,player,0.886542797088623,880,87,902,129
14,-1,referee,0.858255922794342,744,53,768,95
15,-1,player,0.9199791550636292,988,187,1032,252
15,-1,player,0.9156870245933533,1069,128,1100,183
15,-1,player,0.9072392582893372,591,409,631,503
15,-1,player,0.9055742025375366,612,162,650,228
15,-1,player,0.8992499113082886,277,265,307,345
15,-1,player,0.8965163826942444,865,198,908,270
15,-1,player,0.8896275758743286,1140,353,1179,445
15,-1,player,0.8895281553268433,553,158,581,219
15,-1,referee,0.888526976108551,819,225,844,298
15,-1,player,0.8864590525627136,893,87,911,131
15,-1,player,0.8839302659034729,734,99,766,151
15,-1,referee,0.869137167930603,756,53,780,96
15,-1,player,0.8429473042488098,901,441,968,532
16,-1,player,0.9228278994560242,999,189,1042,252
16,-1,player,0.9118159413337708,1077,129,1113,183
16,-1,player,0.9077263474464417,624,162,660,229
16,-1,player,0.902737021446228,877,200,915,271
16,-1,player,0.8988648056983948,748,100,776,151
16,-1,player,0.8983001708984375,1148,354,1194,446
16,-1,player,0.8981508612632751,284,263,316,347
16,-1,referee,0.8943171501159668,830,225,853,299
16,-1,player,0.8869383335113525,596,408,628,507
16,-1,referee,0.8794167637825012,767,54,789,96
16,-1,player,0.8792750835418701,904,87,921,130
16,-1,player,0.8669610023498535,905,439,947,507
16,-1,player,0.8600699305534363,566,158,588,219
16,-1,player,0.8114513754844666,520,415,572,508
17,-1,player,0.9295482635498047,291,264,328,348
17,-1,player,0.9223737120628357,1085,132,1126,186
17,-1,player,0.9117850065231323,1151,353,1189,446
17,-1,player,0.9047874808311462,599,408,632,502
17,-1,player,0.902594804763794,637,163,669,229
17,-1,player,0.8896073698997498,886,202,920,272
17,-1,player,0.8881115317344666,1013,192,1050,253
17,-1,player,0.8861081004142761,759,100,785,152
17,-1,referee,0.8856257200241089,841,226,865,300
17,-1,player,0.8782166838645935,915,87,933,132
17,-1,referee,0.8742130398750305,778,54,800,96
17,-1,player,0.8631876707077026,578,158,595,219
17,-1,player,0.8219609260559082,545,416,584,487
18,-1,player,0.9257232546806335,292,264,336,349
18,-1,player,0.9237899780273438,1096,135,1138,188
18,-1,player,0.9189184308052063,1153,353,1194,449
18,-1,player,0.9079916477203369,1022,192,1056,254
18,-1,player,0.9037942886352539,647,162,676,230
18,-1,player,0.8954901695251465,894,202,923,271
18,-1,player,0.8892671465873718,926,87,945,133
18,-1,referee,0.885231077671051,849,226,875,302
18,-1,referee,0.8815926313400269,789,55,812,96
18,-1,player,0.8799870014190674,588,159,605,221
18,-1,player,0.861963152885437,602,408,636,503
18,-1,player,0.8583909273147583,771,101,794,153
18,-1,player,0.8548563718795776,913,438,975,527
18,-1,player,0.8066932559013367,540,417,585,489
19,-1,player,0.9251242876052856,294,266,345,349
19,-1,player,0.9247044324874878,916,439,972,527
19,-1,player,0.920195996761322,1156,352,1204,449
19,-1,player,0.9144387245178223,1109,137,1149,189
19,-1,player,0.9084832072257996,1028,192,1061,254
19,-1,player,0.9052943587303162,934,88,958,135
19,-1,player,0.8933777213096619,901,202,927,272
19,-1,referee,0.8845381736755371,798,56,819,96
19,-1,player,0.8817237019538879,660,163,685,231
19,-1,player,0.8780754804611206,512,451,543,519
19,-1,player,0.8770597577095032,607,408,639,503
19,-1,player,0.8706043362617493,545,417,596,493
19,-1,player,0.8689216375350952,783,101,804,154
19,-1,player,0.8645920157432556,598,159,616,222
20,-1,player,0.9350084662437439,1150,353,1213,448
20,-1,player,0.9263145327568054,303,268,350,350
20,-1,player,0.9165775775909424,1121,139,1160,191
20,-1,player,0.9151368141174316,1038,191,1066,256
20,-1,player,0.9122517108917236,917,438,964,527
20,-1,player,0.9104446172714233,943,91,968,136
20,-1,player,0.8964444398880005,910,202,937,275
20,-1,player,0.8915285468101501,550,417,604,491
20,-1,player,0.8905651569366455,606,160,627,222
20,-1,player,0.8881847262382507,504,455,549,525
20,-1,player,0.8864500522613525,864,228,899,304
20,-1,player,0.8817331194877625,670,163,691,232
20,-1,referee,0.8792715072631836,809,55,828,99
20,-1,player,0.8786810636520386,795,101,813,154
20,-1,player,0.8747460246086121,611,408,641,503
21,-1,player,0.9325864911079407,1145,354,1216,447
21,-1,player,0.9224202632904053,918,438,973,528
21,-1,player,0.9098988771438599,1133,140,1168,192
21,-1,player,0.9096904993057251,314,269,352,351
21,-1,player,0.9051263928413391,610,161,639,223
21,-1,player,0.9036787152290344,954,91,977,136
21,-1,player,0.899798572063446,1051,191,1075,256
21,-1,player,0.8956332206726074,555,416,604,492
21,-1,player,0.8935984373092651,680,163,702,232
21,-1,player,0.8888127207756042,614,406,651,508
21,-1,player,0.8690809011459351,917,202,945,275
21,-1,referee,0.8657410144805908,818,55,836,99
21,-1,player,0.8603472113609314,804,101,823,156
21,-1,referee,0.8560676574707031,873,230,909,306
22,-1,player,0.9382065534591675,1146,355,1215,448
22,-1,player,0.9289612174034119,917,435,979,529
22,-1,player,0.9237712621688843,617,405,664,511
22,-1,player,0.9209949374198914,616,162,649,224
22,-1,player,0.9142981767654419,1146,140,1177,192
22,-1,player,0.9128738641738892,1057,192,1084,259
22,-1,player,0.9101503491401672,563,415,605,490
22,-1,player,0.9019098877906799,507,457,566,523
22,-1,player,0.8967227339744568,964,92,983,138
22,-1,player,0.8923773169517517,323,270,351,350
22,-1,player,0.8869485855102539,813,102,832,156
22,-1,player,0.8846551775932312,688,163,711,233
22,-1,player,0.8696451783180237,923,203,954,276
22,-1,referee,0.8606124520301819,827,55,846,99
22,-1,referee,0.8108807802200317,883,231,919,306
23,-1,player,0.9285510182380676,565,412,610,488
