frame_id,id,x1,y1,x2,y2,confidence
0,1,794,470,864,566,0.924680412
0,2,431,160,467,227,0.922992587
0,3,839,187,873,247,0.918692291
0,4,392,422,457,500,0.917580068
0,5,140,266,190,347,0.913436472
0,6,1086,345,1137,443,0.911502659
0,7,704,82,733,128,0.908774436
0,8,887,124,913,177,0.90803498
0,9,370,154,405,217,0.907690048
0,10,721,195,757,262,0.900204599
0,11,1134,253,1181,338,0.891647041
0,12,1239,146,1269,210,0.891013503
0,13,532,428,581,520,0.873832345
0,14,559,94,582,145,0.873700738
0,15,568,51,597,90,0.859270036
0,16,638,221,662,296,0.843131065
0,17,494,430,540,519,0.838957727
1,1,805,467,874,562,0.923541009
1,2,443,160,480,227,0.916693568
1,3,850,187,880,248,0.906361222
1,4,404,421,462,498,0.921548903
1,5,154,265,204,347,0.91281873
1,6,1090,344,1149,441,0.923296332
1,7,718,83,746,128,0.901830196
1,8,900,125,923,177,0.892064691
1,9,382,155,419,216,0.916732371
1,10,732,194,763,263,0.90216887
1,11,1148,255,1188,340,0.88918227
1,12,1252,147,1280,211,0.88771385
1,13,531,428,581,518,0.912665904
1,14,570,95,596,145,0.895158648
1,16,651,221,673,296,0.885792553
1,17,499,431,539,520,0.860684812
2,1,814,465,884,560,0.932101965
2,2,456,160,494,227,0.922301829
2,3,862,187,891,248,0.909013271
2,4,416,419,462,499,0.910202682
2,5,165,264,216,347,0.939738035
2,6,1090,344,1159,439,0.931969464
2,7,732,83,757,128,0.897929966
2,8,912,125,934,177,0.898064315
2,9,396,155,431,216,0.913634658
2,10,742,194,772,263,0.910778582
2,11,1159,256,1193,340,0.875371695
2,13,535,429,578,517,0.878616869
2,14,581,95,610,146,0.909895599
2,16,664,221,685,297,0.861504674
2,15,595,52,622,90,0.866243601
3,1,823,463,891,553,0.927391469
3,2,468,161,507,226,0.915858507
3,3,873,185,903,248,0.930215895
3,4,427,417,466,498,0.911270916
3,5,174,264,227,347,0.921852827
3,6,1087,343,1146,439,0.924779356
3,7,745,83,766,127,0.902572572
3,8,924,125,945,176,0.881840765
3,9,409,154,444,216,0.906574667
3,10,752,193,783,264,0.905136347
3,11,1168,257,1196,340,0.879387021
3,13,535,429,576,515,0.872504115
3,14,592,96,624,146,0.911411822
3,16,676,221,697,296,0.879972517
3,17,501,434,544,515,0.805729747
4,1,831,462,896,546,0.918010592
4,2,481,161,519,226,0.917368948
4,3,883,185,916,249,0.924409568
4,4,435,416,479,498,0.91445595
4,5,183,265,236,347,0.931013346
4,6,1087,344,1140,440,0.918868423
4,7,758,83,776,128,0.892591953
4,8,936,125,958,176,0.894183755
4,9,423,154,455,216,0.906809986
4,10,761,192,795,265,0.928542912
4,11,1174,257,1206,340,0.899178982
4,13,534,428,577,517,0.867727757
4,14,604,97,636,147,0.915080488
4,16,685,222,711,297,0.900840342
4,17,496,434,544,510,0.816602647
4,15,620,52,646,90,0.88078773
5,1,840,460,899,545,0.920213699
5,2,493,160,530,226,0.914860427
5,3,890,185,928,248,0.925987244
5,4,435,414,492,498,0.910515845
5,5,193,266,241,347,0.914239764
5,6,1095,346,1139,441,0.90632087
5,7,771,83,786,127,0.876967669
5,8,948,124,971,178,0.893307328
5,9,436,154,464,215,0.88939476
5,10,770,193,806,266,0.917849362
5,11,1183,257,1219,340,0.89490062
5,13,542,427,580,516,0.870221317
5,14,618,97,648,146,0.919254661
5,16,695,223,726,297,0.904513061
5,17,493,436,547,500,0.880785286
5,15,633,51,658,89,0.821650267
6,1,848,458,907,544,0.933874488
6,2,505,159,541,225,0.91592437
6,3,899,185,940,249,0.914074302
6,4,435,413,503,499,0.89113313
6,5,202,266,245,346,0.904474556
6,6,1108,348,1138,442,0.875138819
6,7,782,83,800,127,0.879579067
6,8,960,124,984,178,0.912102759
6,9,449,154,472,214,0.88841939
6,10,781,194,818,266,0.920048535
6,11,1192,256,1233,340,0.892093539
6,13,547,424,584,515,0.888036609
6,14,631,97,659,146,0.915794671
6,16,704,224,740,298,0.833114862
6,15,646,51,669,89,0.825383544
7,1,854,455,917,544,0.930639148
7,2,518,159,550,225,0.902574062
7,3,909,185,951,249,0.923280478
7,4,440,412,509,497,0.931809127
7,5,212,266,248,345,0.89581722
